Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744096025,224,,Aggregated,77.800000,0.000000,1300,1600,3100,3500,4200,5700,6700,7400,8200,8500,8500,2358,52,1300.0,1955.1672169211213,24.494300000000635,8507.755500000001,6834.201017811705
1744096026,224,,Aggregated,80.800000,0.000000,1300,1600,3000,3500,4200,5700,6700,7300,8200,8500,8500,2426,52,1300.0,1937.6308524732094,24.494300000000635,8507.755500000001,6804.320280296784
1744096027,224,,Aggregated,88.600000,0.100000,1300,1600,2800,3400,4200,5700,6700,7300,8200,8500,8500,2493,52,1300.0,1929.8374861211428,24.494300000000635,8507.755500000001,6822.3766546329725
1744096028,224,,Aggregated,93.500000,0.100000,1300,1700,2600,3400,4200,5600,6600,7300,8200,8500,8500,2599,58,1300.0,1920.6990857637584,24.494300000000635,8507.755500000001,6831.36437091189
1744096029,224,,Aggregated,96.100000,0.100000,1300,1700,2600,3400,4200,5500,6500,7200,8200,8500,8500,2670,59,1300.0,1921.469114119852,24.494300000000635,8507.755500000001,6826.362546816479
1744096030,224,,Aggregated,96.200000,0.700000,1300,1700,2600,3400,4200,5400,6500,7200,8200,8500,8500,2765,59,1300.0,1918.2938653526228,24.494300000000635,8507.755500000001,6863.37540687161
1744096031,224,,Aggregated,87.700000,0.700000,1300,1700,2800,3400,4100,5400,6400,7200,8200,8500,8500,2851,59,1300.0,1918.8159923886362,24.494300000000635,8507.755500000001,6861.377411434584
1744096032,224,,Aggregated,85.600000,0.800000,1300,1700,2800,3300,4100,5300,6400,7100,8200,8500,8500,2970,62,1300.0,1921.529667710437,24.494300000000635,8507.755500000001,6876.498316498317
1744096033,224,,Aggregated,85.200000,0.800000,1300,1700,2700,3200,4100,5300,6400,7000,8100,8500,8500,3090,62,1300.0,1910.5622503559873,24.494300000000635,8507.755500000001,6931.71067961165
1744096034,224,,Aggregated,85.100000,0.900000,1300,1700,2700,3200,4000,5200,6400,6900,8100,8500,8500,3174,65,1300.0,1907.3289491493383,24.494300000000635,8507.755500000001,6941.680529300567
1744096035,224,,Aggregated,88.600000,1.100000,1300,1800,2700,3200,4000,5100,6300,6900,8100,8500,8500,3253,66,1300.0,1908.8186782969556,24.494300000000635,8507.755500000001,6922.166615431909
1744096036,224,,Aggregated,91.700000,1.400000,1300,1800,2700,3200,4000,5000,6300,6900,8100,8500,8500,3336,66,1300.0,1916.419165287769,24.494300000000635,8507.755500000001,6910.216726618705
1744096037,224,,Aggregated,91.000000,1.400000,1300,1800,2700,3200,4000,4900,6300,6900,8100,8500,8500,3416,68,1300.0,1917.0935257318483,24.494300000000635,8507.755500000001,6961.487704918033
1744096038,224,,Aggregated,90.900000,1.400000,1300,1900,2700,3200,4000,4800,6300,6900,8100,8500,8500,3501,68,1300.0,1921.589504627247,24.494300000000635,8507.755500000001,6914.7532133676095
1744096039,224,,Aggregated,93.400000,1.600000,1300,1900,2700,3200,4000,4700,6200,6900,8100,8500,8500,3605,70,1300.0,1924.1379132870993,24.494300000000635,8507.755500000001,6842.237725381415
1744096040,224,,Aggregated,93.700000,1.000000,1300,1900,2700,3200,4000,4600,6200,6900,8100,8500,8500,3722,71,1300.0,1917.8589849543232,24.494300000000635,8507.755500000001,6804.176518001074
1744096041,224,,Aggregated,92.900000,1.000000,1300,1900,2700,3200,4000,4600,6200,6900,8100,8500,8500,3812,71,1300.0,1909.7733814795372,24.494300000000635,8507.755500000001,6734.192287513117
1744096042,224,,Aggregated,95.200000,1.200000,1300,1900,2600,3100,4000,4500,6100,6800,8100,8500,8500,3910,72,1300.0,1895.9126887468024,24.494300000000635,8507.755500000001,6693.33810741688
1744096043,224,,Aggregated,95.000000,1.200000,1300,1900,2600,3100,3900,4500,6100,6800,7900,8500,8500,4011,72,1300.0,1872.9761357267514,24.494300000000635,8507.755500000001,6732.001495886313
1744096044,224,,Aggregated,95.200000,1.100000,1300,1800,2600,3000,3900,4500,6100,6800,7900,8500,8500,4090,72,1300.0,1857.9135902689484,24.494300000000635,8507.755500000001,6729.859168704156
