Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6974,0,82,904.6977369228589,38.45199999999949,13451.919300000001,10271.956839690278,5.80389585858117,0.0,82,110,150,200,890,8600,10000,11000,13000,13000,13000
GET,/cart,17748,0,83,173.6329887649313,28.14499999999498,10010.977299999999,13795.727293216138,14.770224218253315,0.0,83,97,110,120,170,340,1300,2900,6800,8800,10000
POST,/cart,17526,0,120.0,226.9231177793003,47.35210000001189,11404.4035,18044.995834759786,14.585471582663262,0.0,120,130,150,160,230,490,1400,3800,8200,11000,11000
POST,/cart/checkout,5799,0,110.0,174.2819333850669,55.748699999981,4060.997499999999,6561.387135713054,4.826038440480672,0.0,110,120,130,140,180,390,1100,2300,3300,4100,4100
GET,/product/0PUK6V6EV0,8571,0,67,164.2730090537869,31.843499999922642,10318.373700000002,7734.670866876677,7.132949728118613,0.0,67,76,85,93,130,250,1000,3400,8200,10000,10000
GET,/product/1YMWWN1N4O,8581,0,68,153.27366376879155,31.878599999913604,9695.783899999999,7756.7290525579765,7.141271918910959,0.0,68,76,84,94,140,260,920,3200,7300,9700,9700
GET,/product/2ZYFJ3GM2N,8584,0,67,153.20890535880807,30.79790000003868,8911.438099999998,7752.4881174277725,7.143768576148662,0.0,67,76,84,93,130,250,940,3000,7100,8900,8900
GET,/product/66VCHSJNUP,8381,0,67,152.8839468321197,31.32549999997991,9301.995599999998,7719.435866841665,6.974828103064065,0.0,67,75,85,93,130,230,940,3100,7000,9300,9300
GET,/product/6E92ZMYYFZ,8512,0,67,160.9069176926676,29.93679999997312,9804.0921,7708.1500234962405,7.0838488024437805,0.0,67,76,85,94,140,270,1200,3100,7100,9800,9800
GET,/product/9SIQT8TOJO,8505,0,67,166.28118771310892,27.89549999999963,10341.858699999997,7761.031040564374,7.0780232688891385,0.0,67,76,86,96,140,290,1400,3200,7500,10000,10000
GET,/product/L9ECAV7KIM,8488,0,67,157.66123348256363,31.609300000013718,11423.1128,7726.260249764373,7.063875544542153,0.0,67,76,86,95,140,260,1100,3000,7000,11000,11000
GET,/product/LS4PSXUNUM,8499,0,68,162.96509077538474,29.182900000023437,9072.903900000001,7725.659959995293,7.073029954413732,0.0,68,77,86,96,140,300,1400,3100,7300,9100,9100
GET,/product/OLJCESPC7Z,8537,0,68,167.13519772753935,29.414599999995517,9952.334,7757.839053531686,7.104654279424642,0.0,68,76,86,95,140,260,1900,3200,7600,10000,10000
POST,/setCurrency,11668,0,94,212.05863507884777,50.817800000004354,13525.715699999999,10283.321391840933,9.710332216507757,0.0,94,110,120,130,190,360,1000,3700,11000,13000,14000
,Aggregated,136373,0,79,213.4342578479639,27.89549999999963,13525.715699999999,10148.359799960403,113.49221249244192,0.0,79,97,110,120,170,380,2300,4000,11000,12000,14000
