Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6892,0,83,1042.1063975769011,46.30930000001854,13618.123200000002,10272.906413232733,5.740570294450132,0.0,83,100,130,200,3800,9200,11000,12000,13000,14000,14000
GET,/cart,17694,0,84,202.81189903922308,29.827000000068438,8619.409699999998,13724.891488640216,14.737906382762715,0.0,84,96,100,110,150,430,2800,3500,6600,8500,8600
POST,/cart,17529,0,120.0,268.86120232757105,61.83889999999792,12984.5103,18024.980831764504,14.600472532126576,0.0,120,130,140,150,190,580,3700,4800,8000,11000,13000
POST,/cart/checkout,5812,0,110.0,196.48454466620845,55.94539999992776,5669.996100000006,6561.713523743978,4.841003272104493,0.0,110,120,130,130,170,430,2100,2800,4700,5700,5700
GET,/product/0PUK6V6EV0,8552,0,68,195.0614779466783,35.71899999997186,9026.2024,7733.792680074836,7.123238125092502,0.0,68,75,81,87,120,380,2900,3800,7000,9000,9000
GET,/product/1YMWWN1N4O,8464,0,68,187.83831164933784,34.806399999979476,9703.9563,7755.508270321361,7.049940071419895,0.0,68,74,81,87,110,300,2700,3600,7400,9700,9700
GET,/product/2ZYFJ3GM2N,8540,0,68,201.05232985948507,35.02280000003566,9971.415,7751.886768149883,7.113242935955329,0.0,68,75,81,87,120,440,2900,3600,7100,10000,10000
GET,/product/66VCHSJNUP,8340,0,68,184.52154273381123,33.84440000002087,8987.471399999999,7718.65551558753,6.946656450335766,0.0,68,75,81,86,120,300,2800,3600,7300,9000,9000
GET,/product/6E92ZMYYFZ,8374,0,68,186.40764149749074,32.53610000001572,8909.286,7707.734774301409,6.974976152891092,0.0,68,74,81,87,120,310,2800,3500,6900,8900,8900
GET,/product/9SIQT8TOJO,8425,0,68,192.10458513946585,33.73590000001059,9520.751900000001,7760.077151335312,7.01745570672408,0.0,68,75,81,87,120,330,2800,3600,7000,9500,9500
GET,/product/L9ECAV7KIM,8254,0,68,188.1676415313781,35.53220000003421,10303.1742,7725.9992730797185,6.875024261519354,0.0,68,75,82,87,120,350,2900,3700,7100,10000,10000
GET,/product/LS4PSXUNUM,8327,0,68,192.54715314038668,32.48800000000074,8412.136499999999,7724.605980545214,6.935828328770494,0.0,68,76,83,89,120,390,2800,3600,7900,8400,8400
GET,/product/OLJCESPC7Z,8481,0,68,187.52713279094368,31.26950000000761,8404.307299999999,7756.742365287112,7.064099922697558,0.0,68,75,81,87,120,300,2700,3700,7200,8400,8400
POST,/setCurrency,11649,0,95,305.23990079834925,57.416099999954895,14024.863599999999,10283.952184736887,9.702829854911432,0.0,95,100,110,120,180,560,4500,6200,11000,13000,14000
,Aggregated,135333,0,79,255.82529619679062,29.827000000068438,14024.863599999999,10150.52862199168,112.72324429176142,0.0,79,94,110,120,160,520,3300,4900,11000,13000,14000
