Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1743608363,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608364,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608365,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608366,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608367,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608368,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743608369,350,,Aggregated,0.000000,0.000000,5800,5800,6000,6100,6100,6100,6100,6100,6100,6100,6100,9,0,5809.9312,5895.375599999999,5809.9312,6074.0343,10216.0
1743608370,400,,Aggregated,0.000000,0.000000,6100,6200,6200,6300,6300,6400,6400,6400,6400,6400,6400,17,0,6100.0,6064.0221058823545,5809.9312,6356.163100000001,10216.0
1743608371,450,,Aggregated,0.000000,0.000000,6100,6200,6200,6300,6300,6400,6400,6400,6400,6400,6400,18,0,6100.0,5822.979483333334,1725.2548999999995,6356.163100000001,10075.888888888889
1743608372,500,,Aggregated,0.000000,0.000000,6200,8300,8300,8300,8300,8400,8400,8400,8400,8400,8400,49,0,6200.0,5875.69847346939,1725.2548999999995,8435.026300000001,9505.081632653062
1743608373,550,,Aggregated,2.125000,0.000000,7400,8300,8300,8400,9000,9100,10000,10000,10000,10000,10000,87,0,7400.0,6778.73931724138,1725.2548999999995,10038.164999999999,9774.758620689656
1743608374,561,,Aggregated,5.444444,0.000000,8000,8300,9000,9000,10000,10000,10000,11000,11000,11000,11000,127,0,8000.0,7254.747993700788,1725.2548999999995,11134.5133,9829.110236220473
1743608375,561,,Aggregated,5.700000,0.000000,8300,9000,9300,9500,10000,11000,11000,12000,12000,12000,12000,196,0,8300.0,7882.424145408166,1725.2548999999995,12057.9274,9934.239795918367
1743608376,561,,Aggregated,10.900000,0.000000,8300,9100,9400,10000,10000,11000,12000,12000,12000,12000,12000,229,0,8300.0,8078.120776419215,1725.2548999999995,12146.7346,9948.157205240175
1743608377,561,,Aggregated,17.600000,0.000000,8600,9300,10000,10000,11000,12000,13000,13000,13000,13000,13000,304,0,8500.0,8228.73542039474,1725.2548999999995,12847.9728,9844.111842105263
1743608378,561,,Aggregated,21.500000,0.000000,8600,9300,10000,10000,11000,12000,13000,13000,13000,13000,13000,322,0,8500.0,8209.363060248452,1725.2548999999995,12847.9728,9831.639751552795
1743608379,561,,Aggregated,24.800000,0.000000,8600,9300,10000,10000,11000,12000,13000,13000,13000,13000,13000,408,0,8600.0,8198.306567156866,1725.2548999999995,13251.063799999998,9692.46568627451
1743608380,561,,Aggregated,31.500000,0.000000,8600,9300,10000,10000,11000,12000,13000,13000,13000,13000,13000,431,0,8600.0,8173.7565331786545,1725.2548999999995,13251.063799999998,9663.160092807424
1743608381,561,,Aggregated,35.400000,0.000000,8500,9400,10000,10000,11000,12000,13000,13000,13000,13000,13000,588,0,8500.0,8292.468663435375,1725.2548999999995,13251.063799999998,9498.86394557823
1743608382,561,,Aggregated,40.500000,0.000000,8500,9400,10000,10000,11000,12000,13000,13000,13000,13000,13000,656,0,8500.0,8258.888025304881,1725.2548999999995,13251.063799999998,9443.205792682927
1743608383,561,,Aggregated,49.800000,0.000000,8500,9600,10000,10000,11000,12000,13000,13000,14000,14000,14000,763,0,8500.0,8303.111783224123,1725.2548999999995,13618.123200000002,9369.0
1743608384,561,,Aggregated,57.300000,0.000000,8400,9700,10000,11000,11000,12000,13000,13000,14000,14000,14000,858,0,8400.0,8228.77747995339,1725.2548999999995,13618.123200000002,9285.820512820514
1743608385,561,,Aggregated,66.600000,0.000000,8400,9600,10000,11000,11000,12000,13000,13000,14000,14000,14000,905,0,8400.0,8164.650457237575,1725.2548999999995,13618.123200000002,9255.71049723757
1743608386,561,,Aggregated,65.800000,0.000000,8300,9300,10000,10000,11000,12000,13000,13000,14000,14000,14000,995,0,8300.0,7979.396981909557,1725.2548999999995,13618.123200000002,9233.263316582914
1743608387,561,,Aggregated,70.000000,0.000000,8200,9300,10000,10000,11000,12000,13000,13000,14000,14000,14000,1064,0,8200.0,7850.3412558270775,1725.2548999999995,13618.123200000002,9197.76409774436
1743608388,561,,Aggregated,75.200000,0.000000,8000,9100,10000,10000,11000,12000,13000,13000,14000,14000,14000,1109,0,8000.0,7748.455181785402,1725.2548999999995,13618.123200000002,9173.165915238955
1743608389,561,,Aggregated,75.400000,0.000000,7700,9000,9800,10000,11000,12000,13000,13000,14000,14000,14000,1212,0,7700.0,7600.829594967003,1351.5447000000015,14024.863599999999,9166.224422442245
1743608390,561,,Aggregated,77.200000,0.000000,7400,8700,9500,10000,11000,12000,13000,13000,14000,14000,14000,1320,0,7400.0,7389.653471287886,1351.5447000000015,14024.863599999999,9230.07196969697
1743608391,561,,Aggregated,80.500000,0.000000,7100,8500,9400,10000,11000,12000,13000,13000,14000,14000,14000,1393,0,7100.0,7205.016920961961,1351.5447000000015,14024.863599999999,9214.253409906676
1743608392,561,,Aggregated,79.100000,0.000000,7100,8400,9300,10000,11000,12000,13000,13000,14000,14000,14000,1435,0,7100.0,7070.319032822306,1224.6486999999995,14024.863599999999,9208.100348432055
