Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744097473,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744097474,100,,Aggregated,0.000000,0.000000,360,740,760,760,770,790,840,840,840,840,840,50,0,350.0,522.1096259999999,292.7895999999999,841.8185000000002,8688.0
1744097475,150,,Aggregated,0.000000,0.000000,360,740,760,760,770,790,840,840,840,840,840,50,0,350.0,522.1096259999999,292.7895999999999,841.8185000000002,8688.0
1744097476,200,,Aggregated,0.000000,0.000000,1200,1200,1300,1900,1900,2000,2000,2000,2000,2000,2000,126,0,1200.0,1087.735715873016,292.7895999999999,1996.1796999999997,6897.920634920635
1744097477,224,,Aggregated,25.000000,0.000000,1200,1300,1300,1900,2400,2500,2500,2500,2500,2500,2500,226,0,1200.0,1286.1224535398233,292.7895999999999,2546.0427999999997,7094.327433628318
1744097478,224,,Aggregated,42.000000,0.000000,1300,1500,1700,1700,2000,2400,2500,2500,2500,2500,2500,319,0,1300.0,1370.463024764891,292.7895999999999,2546.0427999999997,7871.680250783699
1744097479,224,,Aggregated,56.250000,0.000000,1400,1700,1800,1900,2500,3400,3400,3400,3500,3500,3500,381,0,1400.0,1576.8301671916017,292.7895999999999,3534.8485,7304.380577427822
1744097480,224,,Aggregated,61.600000,0.000000,1500,1700,2000,2000,3300,3400,4300,4300,4300,4300,4300,459,0,1500.0,1696.98861459695,292.7895999999999,4275.606700000001,7354.274509803921
1744097481,224,,Aggregated,61.600000,0.000000,1500,1900,2000,2500,3800,4400,4400,4400,4500,4500,4500,524,0,1500.0,1893.8347687022904,292.7895999999999,4489.4178999999995,6904.698473282443
1744097482,224,,Aggregated,61.714286,0.000000,1500,2000,2900,3400,4000,4300,4400,4400,4500,4500,4500,706,0,1500.0,2038.9269743626046,292.7895999999999,4489.4178999999995,6644.376770538243
1744097483,224,,Aggregated,65.500000,0.000000,1300,1900,2900,3400,4000,4300,4400,4400,4500,4500,4500,879,0,1300.0,1944.6403850966979,292.7895999999999,4489.4178999999995,7460.361774744028
1744097484,224,,Aggregated,72.666667,0.000000,1300,1800,2500,3300,4000,4300,4400,4400,4500,4500,4500,912,0,1300.0,1918.0939411184186,292.7895999999999,4489.4178999999995,7705.548245614035
1744097485,224,,Aggregated,84.900000,0.000000,1400,1700,2400,3300,4000,4100,4400,4400,4500,4500,4500,1001,0,1400.0,1896.1069560439541,292.7895999999999,4489.4178999999995,7962.5374625374625
1744097486,224,,Aggregated,84.900000,0.000000,1500,1900,3200,3400,4000,4300,4400,4400,4500,4500,4500,1054,0,1500.0,1980.6778879506624,292.7895999999999,4489.4178999999995,7679.0056925996205
1744097487,224,,Aggregated,94.300000,0.000000,1500,1900,3300,3500,4000,4200,4400,4400,4500,4500,4500,1153,0,1500.0,2013.271688464871,292.7895999999999,4489.4178999999995,8077.824804856895
1744097488,224,,Aggregated,92.800000,0.000000,1500,2500,3300,3600,4000,4400,4600,4800,5000,5100,5100,1305,43,1500.0,2111.117322681991,292.7895999999999,5068.4378,7902.952490421456
1744097489,224,,Aggregated,92.500000,0.000000,1500,2400,3300,3500,4000,4400,4600,4800,5000,5100,5100,1362,50,1500.0,2107.411642804697,292.7895999999999,5068.4378,8283.246696035243
1744097490,224,,Aggregated,99.100000,3.800000,1500,2300,3300,3400,4000,4400,4600,4800,5000,5100,5100,1439,53,1500.0,2096.9259684503104,292.7895999999999,5068.4378,8352.39958304378
1744097491,224,,Aggregated,98.100000,5.000000,1600,2300,3300,3400,4000,4300,4600,4800,5000,5100,5100,1450,53,1600.0,2094.534202068963,292.7895999999999,5068.4378,8289.036551724137
1744097492,224,,Aggregated,100.300000,5.300000,1600,2300,3300,3500,4000,4400,4600,4800,5100,5200,5200,1477,66,1600.0,2097.5772551117116,25.79370000000125,5150.588800000001,8139.270819228165
1744097493,224,,Aggregated,92.400000,5.300000,1500,2300,3300,3600,4100,4400,4700,4900,5400,5400,5400,1533,89,1500.0,2098.85970626223,22.656299999997742,5435.3245000000015,7949.457273320287
1744097494,224,,Aggregated,81.400000,6.200000,1500,2000,3300,3500,4100,4400,4700,4900,5400,5400,5400,1620,99,1500.0,2012.1406914197512,22.656299999997742,5435.3245000000015,7853.558641975309
1744097495,224,,Aggregated,65.200000,8.000000,1400,2000,3200,3500,4100,4400,4800,5100,8900,9000,9000,1688,115,1400.0,1995.029646919431,22.656299999997742,9039.651899999999,7730.816943127962
1744097496,224,,Aggregated,70.600000,9.600000,1400,2000,3300,3600,4100,4500,8400,9000,9400,9400,9400,1758,143,1400.0,2058.9029098407277,22.656299999997742,9443.8625,7567.846985210466
1744097497,224,,Aggregated,67.200000,10.500000,1400,2000,3300,3700,4300,4900,9100,9400,10000,10000,10000,1891,163,1400.0,2150.838215124272,22.656299999997742,10403.2742,7236.492860920148
1744097498,224,,Aggregated,68.900000,13.100000,1400,2000,3400,3800,4400,8500,9300,9800,10000,11000,11000,2010,192,1400.0,2265.1800280597,22.656299999997742,10910.126199999999,6952.7353233830845
1744097499,224,,Aggregated,68.900000,15.900000,1300,2000,3300,3700,4400,8400,9300,9700,10000,11000,11000,2120,193,1300.0,2208.4087407075463,22.656299999997742,10910.126199999999,6744.7466981132075
1744097500,224,,Aggregated,66.100000,14.200000,1300,1900,3200,3600,4400,8200,9200,9700,10000,11000,11000,2215,197,1300.0,2142.093601851013,22.656299999997742,10910.126199999999,6748.339503386004
