Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6934,13,85,1041.0997619844231,30.559900000000084,14792.9241,10261.180992212287,5.77415531980037,0.010825500311134238,85,110,180,300,3900,8800,10000,11000,14000,15000,15000
GET,/cart,17332,13,86,223.32528594507323,30.973200000005363,10385.4656,13848.404684975767,14.432890107121432,0.010825500311134238,86,100,120,130,380,870,1900,3200,6900,9000,10000
POST,/cart,17375,18,120.0,301.2967328345323,54.79439999999158,9505.6931,17994.23620143885,14.468697531227491,0.014989154276955099,120,140,160,180,600,1300,2400,3900,7600,9200,9500
POST,/cart/checkout,5766,2,110.0,221.42239417273626,60.42009999998754,6090.004699999994,6560.780090183836,4.801525753384617,0.0016654615863283444,110,120,140,150,390,880,1400,2300,5000,6100,6100
GET,/product/0PUK6V6EV0,8451,5,69,192.73603691870903,33.70540000003075,10639.7623,7733.262927464206,7.037407933030419,0.004163653965820861,69,78,90,100,360,830,1500,2200,7200,11000,11000
GET,/product/1YMWWN1N4O,8292,5,69,201.88780519778174,34.56040000003213,10464.0936,7753.964785335263,6.905003736917315,0.004163653965820861,69,78,88,99,320,860,1700,2700,7800,10000,10000
GET,/product/2ZYFJ3GM2N,8441,6,69,197.97582662006957,31.412600000010116,8589.106600000001,7750.5438929036845,7.029080625098777,0.004996384758985033,69,78,89,100,360,860,1600,2300,7600,8600,8600
GET,/product/66VCHSJNUP,8326,5,69,202.50627392505393,33.95820000002914,9748.310900000002,7717.26735527264,6.933316583884897,0.004163653965820861,69,77,88,100,340,840,1600,2400,7600,9700,9700
GET,/product/6E92ZMYYFZ,8388,6,69,209.82953140200277,34.04760000000806,10029.3975,7705.684787792084,6.984945893061076,0.004996384758985033,69,78,89,100,410,950,1600,2500,7500,10000,10000
GET,/product/9SIQT8TOJO,8401,6,69,204.4664318533509,33.01440000001321,9266.509,7756.319961909297,6.99577139337221,0.004996384758985033,69,78,88,100,370,890,1600,2500,7400,9300,9300
GET,/product/L9ECAV7KIM,8336,7,68,210.61481130038422,33.72269999999844,9118.966,7722.574616122841,6.941643891816539,0.005829115552149205,69,78,90,100,390,930,1700,2500,7800,9100,9100
GET,/product/LS4PSXUNUM,8661,3,69,202.02039023207274,35.84250000000111,10068.216999999999,7723.834545664473,7.212281399594895,0.0024981923794925166,69,77,89,100,380,880,1600,2300,7600,10000,10000
GET,/product/OLJCESPC7Z,8443,8,69,204.58662963401622,32.966599999951995,9697.9682,7755.050100675116,7.030746086685105,0.006661846345313378,69,78,89,100,400,960,1700,2400,7200,9700,9700
POST,/setCurrency,11739,41,97,346.41640369707795,42.48640000000137,14973.5275,10263.831075900844,9.775426780954216,0.034141962519731055,97,110,130,150,490,1200,4600,6700,11000,14000,15000
,Aggregated,134885,138,82,274.59333749860593,30.559900000000084,14973.5275,10142.028565073952,112.32289303594936,0.11491684945665576,82,100,120,130,440,1100,2200,5100,10000,14000,15000
