Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1743609764,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609765,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609766,150,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609767,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609768,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609769,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609770,350,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609771,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609772,450,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743609773,500,,Aggregated,0.000000,0.000000,8200,8200,8300,8300,8700,8900,8900,8900,8900,8900,8900,27,0,8200.0,7668.226396296297,5138.7065999999995,8896.431900000001,10216.0
1743609774,550,,Aggregated,0.000000,0.000000,8200,8500,8900,9200,9400,9600,9700,9900,10000,10000,10000,104,0,8200.0,8041.031960576922,5138.7065999999995,10006.0676,10216.0
1743609775,561,,Aggregated,1.333333,0.000000,8200,8900,9200,9300,9900,10000,10000,11000,11000,11000,11000,148,0,8200.0,8269.71156689189,5138.7065999999995,11003.476299999998,10216.0
1743609776,561,,Aggregated,2.700000,0.000000,8300,9100,9300,9500,10000,10000,11000,11000,11000,11000,11000,208,0,8300.0,8458.710890384617,3360.9524000000006,11483.6853,10202.51923076923
1743609777,561,,Aggregated,11.500000,0.000000,8300,9000,9300,9500,10000,11000,11000,11000,11000,11000,11000,250,0,8300.0,8177.051528,3155.462100000001,11483.6853,9986.252
1743609778,561,,Aggregated,14.900000,0.000000,8300,9000,9300,9500,10000,10000,11000,11000,11000,11000,11000,305,0,8300.0,8066.42788622951,3155.462100000001,11483.6853,9872.216393442623
1743609779,561,,Aggregated,20.800000,0.000000,8400,9100,9400,9700,10000,11000,11000,11000,11000,11000,11000,357,0,8400.0,8166.617871988793,3155.462100000001,11483.6853,9846.703081232494
1743609780,561,,Aggregated,26.000000,0.000000,8500,9100,9500,9700,10000,11000,11000,11000,11000,11000,11000,426,0,8500.0,8183.044752112676,3155.462100000001,11483.6853,9770.281690140846
1743609781,561,,Aggregated,30.500000,0.000000,8600,9100,9600,9700,10000,11000,11000,11000,12000,12000,12000,534,0,8600.0,8213.807555430716,3155.462100000001,11711.4424,9660.685393258427
1743609782,561,,Aggregated,37.100000,0.000000,8500,9100,9500,9700,10000,11000,11000,11000,12000,12000,12000,593,0,8500.0,8179.3374379426605,3155.462100000001,11711.4424,9597.0
1743609783,561,,Aggregated,42.700000,0.000000,8400,9100,9500,9700,10000,11000,11000,11000,12000,12000,12000,697,0,8400.0,8158.225648493537,3155.462100000001,11711.4424,9450.558106169297
1743609784,561,,Aggregated,53.800000,0.000000,8400,9100,9500,9700,10000,11000,11000,11000,12000,12000,12000,717,0,8400.0,8147.764306973493,3155.462100000001,11711.4424,9426.603905160391
1743609785,561,,Aggregated,58.100000,0.000000,8400,9100,9500,9700,10000,11000,11000,11000,12000,12000,12000,771,0,8400.0,8103.14551647211,3155.462100000001,11711.4424,9313.354085603112
1743609786,561,,Aggregated,67.000000,0.000000,8400,9100,9600,9700,10000,11000,12000,12000,14000,14000,14000,857,0,8400.0,8153.273171178526,3155.462100000001,14093.815800000002,9321.653442240373
1743609787,561,,Aggregated,60.200000,0.000000,8200,9000,9500,9700,11000,11000,12000,13000,15000,15000,15000,986,0,8200.0,8014.880594523327,2407.0166999999997,14562.678199999998,9190.451318458418
1743609788,561,,Aggregated,62.500000,0.000000,8100,8900,9400,9700,11000,11000,13000,14000,15000,15000,15000,1094,0,8100.0,7932.333082723951,2331.558300000001,14792.9241,9133.394881170017
1743609790,561,,Aggregated,65.000000,0.000000,8000,8800,9400,9700,11000,11000,13000,14000,15000,15000,15000,1144,0,8000.0,7870.871231293708,2331.558300000001,14973.5275,9152.246503496504
1743609791,561,,Aggregated,72.900000,0.000000,7800,8800,9300,9700,11000,11000,13000,14000,15000,15000,15000,1182,0,7800.0,7760.991312690358,2331.558300000001,14973.5275,9121.743654822336
1743609792,561,,Aggregated,77.300000,0.000000,7500,8600,9100,9500,10000,11000,13000,14000,15000,15000,15000,1327,0,7500.0,7339.899831801049,226.67410000000032,14973.5275,9106.751318764129
1743609793,561,,Aggregated,75.500000,0.000000,7300,8400,9000,9400,10000,11000,13000,14000,15000,15000,15000,1450,0,7200.0,6971.287297999997,195.55609999999746,14973.5275,9183.199310344828
