Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,419,0,270.0,758.1330673031044,42.134599999997135,2369.9475999999995,8688.0,0.3489924471317284,0.0,270,1100,1400,1700,1800,1900,2000,2100,2400,2400,2400
GET,/basket.html,38277,582,57,77.78257675627668,9.992300000021714,4329.004599999999,22670.270867622854,31.881584484155532,0.48475800532378505,57,72,81,86,100,120,180,700,3300,4000,4300
DELETE,/cart,38255,631,85,150.75688964841214,5.893700000001445,13322.238599999991,0.3133969415762645,31.86326029838728,0.525570964534894,85,110,120,140,190,270,890,1900,8600,12000,13000
POST,/cart,38279,7002,210.0,413.26635712792944,6.094499999996117,17921.78459999998,11.063847017947177,31.883250319225375,5.832088579513991,210,270,320,360,520,860,3200,6400,13000,17000,18000
GET,/category.html,38305,522,37,60.01881137188397,6.484999999997854,2046.6952000000003,11361.297794021668,31.90490617513331,0.4347829532285495,37,62,68,71,80,94,180,750,1400,1900,2000
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,4703,56,37,59.22348052307043,6.8838999999982775,1726.0756999999992,10240.819051669147,3.917211166731548,0.046643381955553204,37,62,68,71,81,94,170,650,1500,1700,1700
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4740,66,37,60.88566308016728,6.050899999998194,1849.3881999999999,10219.95569620253,3.9480291155236102,0.054972557304759126,37,61,67,70,80,95,220,800,1500,1800,1800
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,4764,69,36,59.45223327035951,6.2923000000054685,1951.6223000000005,10214.166876574307,3.9680191363617046,0.05747130990952091,36,62,67,70,80,94,170,680,1500,2000,2000
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,4903,70,37,62.36575727105753,7.10080000000346,1691.2048000000013,10216.304711401182,4.0837946737156665,0.0583042274444415,37,61,67,70,79,95,300,820,1400,1700,1700
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,4644,61,37,61.62642390180875,7.189400000001456,2044.5063999999995,10228.116063738156,3.8680690321712334,0.050807969630156165,37,62,67,70,81,96,220,730,1500,2000,2000
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,4823,82,35,57.6212414679667,6.275500000000989,1875.0040999999999,10188.115695625129,4.01716127092202,0.06829923786348861,35,61,67,70,79,92,150,590,1700,1900,1900
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,4830,57,37,61.76216886128506,7.076400000002536,1855.3131999999994,10241.916149068324,4.022991693666463,0.04747629949047379,37,61,67,70,80,93,230,970,1600,1900,1900
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,4894,72,35,56.426951348590705,7.308200000004206,1572.3656000000003,10211.805476093175,4.076298415901381,0.059970062514282683,36,61,66,70,79,91,160,600,1500,1600,1600
GET,/login,38305,477,120.0,180.76499244745972,6.767099999997583,8984.426600000006,13.074716094504634,31.90490617513331,0.3973016641571228,120,140,150,160,200,300,1200,2200,4700,6600,9000
POST,/orders,38261,5386,170.0,295.22529446433595,6.349900000003572,10680.02,625.2581218473119,31.868257803596805,4.486093843082313,170,200,230,240,310,570,2400,3700,6900,9200,11000
,Aggregated,268402,15133,86,177.70027308030782,5.893700000001445,17921.78459999998,6419.0346979530705,223.55673220775697,12.604541055953332,86,120,150,180,260,410,1100,2200,8400,14000,18000
