Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744101936,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744101937,50,,Aggregated,0.000000,0.000000,300,660,670,670,680,860,860,860,860,860,860,48,0,290.0,439.4561833333334,148.71469999999997,856.4139000000001,8688.0
1744101938,100,,Aggregated,0.000000,0.000000,450,670,670,670,860,860,1100,1100,1100,1100,1100,50,0,300.0,466.27694199999996,148.71469999999997,1123.5040999999999,8688.0
1744101939,150,,Aggregated,0.000000,0.000000,1000,1100,1100,1100,2200,2300,2300,2300,2300,2300,2300,116,0,1000.0,973.2110362068963,148.71469999999997,2319.7438,7491.448275862069
1744101940,200,,Aggregated,24.000000,0.000000,1100,1500,1700,2300,2600,2800,3000,3000,3100,3100,3100,210,0,1100.0,1368.0733300000002,148.71469999999997,3061.4735999999994,6893.809523809524
1744101941,224,,Aggregated,18.333333,0.000000,1400,1700,1800,1900,2600,2800,3000,3100,3600,3600,3600,291,0,1400.0,1447.5037632302415,148.71469999999997,3563.838,7654.529209621993
1744101943,224,,Aggregated,29.000000,0.000000,1400,1800,1900,1900,2600,3000,3400,3400,3600,3600,3600,366,0,1400.0,1542.022489617488,148.71469999999997,3563.838,7745.306010928962
1744101944,224,,Aggregated,42.000000,0.000000,1600,1900,2300,2600,3900,4300,4800,4900,4900,4900,4900,441,0,1600.0,1880.854447845806,148.71469999999997,4871.580099999999,6954.764172335601
1744101945,224,,Aggregated,52.285714,0.000000,1600,1900,2200,2600,3900,4300,4800,4900,4900,4900,4900,471,0,1600.0,1862.8961690021242,148.71469999999997,4871.580099999999,7169.685774946922
1744101946,224,,Aggregated,52.285714,0.000000,1700,2200,3000,3500,4200,4400,4800,4900,4900,4900,4900,640,0,1700.0,2135.523062187501,148.71469999999997,4871.580099999999,6448.1859375
1744101947,224,,Aggregated,55.125000,0.000000,1500,2000,3100,3500,4100,4400,4800,4800,4900,4900,4900,819,0,1500.0,2056.186604273505,148.71469999999997,4871.580099999999,6812.25641025641
1744101948,224,,Aggregated,52.222222,0.000000,1400,1900,3000,3500,4100,4400,4700,4800,4900,4900,4900,898,0,1400.0,1988.7178089086867,148.71469999999997,4871.580099999999,7393.790645879732
