Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6875,0,100.0,952.7529217163644,52.44790000000421,14338.807399999998,10271.011345454546,5.724519074644605,0.0,100,120,150,190,2100,8600,11000,12000,14000,14000,14000
GET,/cart,17546,0,100.0,182.5291508320994,39.40930000010212,10422.097999999998,13764.848797446712,14.60980533581298,0.0,100,110,130,140,170,230,1900,2900,7000,9400,10000
POST,/cart,17782,0,140.0,246.26465326734876,68.3524000000375,11123.6736,18026.63761106737,14.806312463320781,0.0,140,160,170,180,220,310,2600,4000,7400,11000,11000
POST,/cart/checkout,5885,0,130.0,188.69999005947352,60.2219000002151,3904.5128000000027,6561.179779099405,4.900188327895782,0.0,130,140,160,170,200,270,1500,2200,3400,3900,3900
GET,/product/0PUK6V6EV0,8588,0,83,172.6723127852828,42.72739999998976,10435.7125,7735.386469492315,7.150861063716054,0.0,83,94,100,110,140,200,2100,3000,7500,10000,10000
GET,/product/1YMWWN1N4O,8645,0,83,172.72245497975652,43.39170000002923,11999.020999999999,7756.349566223251,7.198322530953107,0.0,83,95,100,110,140,190,2000,3200,7600,12000,12000
GET,/product/2ZYFJ3GM2N,8350,0,84,173.60164619161546,44.77090000000317,10168.716299999998,7752.130538922156,6.952688621568357,0.0,84,95,100,110,140,200,2000,3100,7500,10000,10000
GET,/product/66VCHSJNUP,8473,0,84,177.64908865809045,39.21710000000189,9611.7012,7719.71898973209,7.0551054719219986,0.0,84,96,110,110,140,200,2200,3100,7600,9600,9600
GET,/product/6E92ZMYYFZ,8489,0,84,173.8948201790553,43.74699999993936,9803.4946,7707.964188950406,7.068427989041171,0.0,84,95,100,110,140,200,2200,3100,6900,9800,9800
GET,/product/9SIQT8TOJO,8535,0,83,171.52457826596398,42.949399999997695,10227.2153,7760.5172817809025,7.106730225758794,0.0,83,94,100,110,140,190,1700,3000,7900,10000,10000
GET,/product/L9ECAV7KIM,8351,0,84,173.74243334930017,42.493300000046474,11309.825400000002,7727.243683391211,6.953521278888305,0.0,84,95,100,110,140,190,2000,3000,8300,11000,11000
GET,/product/LS4PSXUNUM,8560,0,83,166.92210098130957,43.6954000000469,12195.621999999998,7726.160046728972,7.127546658757501,0.0,83,94,100,110,140,190,1800,3000,7600,12000,12000
GET,/product/OLJCESPC7Z,8565,0,84,181.58868470519448,46.32440000000315,8799.799799999999,7758.25685931115,7.131709945357242,0.0,84,94,100,110,140,200,2400,3300,7300,8800,8800
POST,/setCurrency,11633,0,120.0,239.98627165821435,63.618700000006356,13659.7983,10283.48775036534,9.686302602958646,0.0,120,130,140,150,190,300,2700,4200,11000,13000,14000
,Aggregated,136277,0,97,229.9749721126804,39.21710000000189,14338.807399999998,10150.872201472002,113.47204159059532,0.0,97,120,130,140,180,260,2500,4200,11000,13000,14000
