Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,419,0,450.0,742.4019241050117,32.965699999977005,2441.099,8688.0,0.34894811374596096,0.0,450,1100,1400,1600,1800,1900,1900,2000,2400,2400,2400
GET,/basket.html,38554,0,55,79.99845918192699,10.517599999957383,1606.3216999999952,23020.0,32.10822333499231,0.0,55,69,78,84,100,140,710,850,1300,1500,1600
DELETE,/cart,38537,0,81,130.81163571113518,21.90909999995938,2811.377400000083,0.0,32.09406553562792,0.0,81,100,120,140,180,290,1100,1300,1800,2600,2800
POST,/cart,38557,6343,190.0,316.5862080504147,47.434000000009746,8062.517900000002,10.528619965246259,32.110721770174266,5.28252478637382,190,260,310,340,510,850,2000,2500,6500,8000,8100
GET,/category.html,38574,0,36,71.63642112822026,10.313700000040171,1862.2701999999992,11518.0,32.124879569538656,0.0,36,62,67,70,82,120,730,890,1300,1600,1900
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,4855,0,36,73.53762982492243,10.29790000001185,1646.7879000000005,10364.0,4.043300936125633,0.0,36,62,67,70,83,120,730,890,1300,1600,1600
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4867,0,35,76.31643605917449,10.743300000001454,2263.210699999999,10364.0,4.053294676853442,0.0,35,62,67,70,83,140,770,930,1600,2300,2300
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,4705,0,36,70.98359774707772,9.808899999995901,1797.1543,10364.0,3.9183791770280343,0.0,36,61,66,70,81,110,710,870,1500,1800,1800
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,4904,0,36,73.41626922919984,11.334099999999125,1610.5891999999997,10364.0,4.084108710764183,0.0,36,62,67,70,81,120,720,910,1400,1600,1600
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,4718,0,34,70.57882882577402,10.579599999971379,2071.4617999999996,10364.0,3.9292057294831597,0.0,34,61,66,70,80,110,700,840,1600,2100,2100
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,4812,0,35,70.46530868661551,10.71630000001278,1879.5878000000005,10364.0,4.007490031850988,0.0,35,61,66,70,81,110,700,860,1600,1900,1900
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,4880,0,35,64.25070368852597,10.936300000025767,2291.8552000000004,10364.0,4.064121229308567,0.0,35,61,66,69,79,99,600,790,1500,2300,2300
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,4833,0,33,70.58053414028502,10.481199999958335,1789.3167000000005,10364.0,4.024979078124653,0.0,33,60,66,69,80,110,720,940,1500,1800,1800
GET,/login,38576,0,120.0,200.55281381947273,38.513199999954395,4679.4582,13.0,32.12654519299329,0.0,120,140,150,160,200,270,2000,2400,4200,4600,4700
POST,/orders,38541,5271,180.0,315.9598155600526,52.4735999999848,9001.846900000002,627.0614670091591,32.09739678253719,4.389750614689643,180,220,240,260,330,520,2900,3400,8500,9000,9000
,Aggregated,270332,11614,85,170.41808950032294,9.808899999995901,9001.846900000002,6511.639894648062,225.13565986914827,9.672275401063462,85,130,160,180,270,470,1200,2100,4400,8800,9000
