Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,419,0,660.0,709.2382596658726,39.25739999999678,2136.1011000000003,8688.0,0.3488199700279625,0.0,660,1100,1200,1300,1600,1800,1800,1900,2100,2100,2100
GET,/basket.html,38343,0,58,89.87605378817527,11.011100000018814,2109.560200000001,23020.0,31.920773534086315,0.0,58,71,79,86,100,150,850,1000,1500,1900,2100
DELETE,/cart,38322,0,79,135.90677305725188,21.267799999975523,2707.8343000000586,0.0,31.903290910290167,0.0,79,100,120,130,180,280,1200,1400,2100,2700,2700
POST,/cart,38345,6383,190.0,315.63330013560585,42.46829999999591,5994.103900000001,10.653592384926327,31.922438545876425,5.3138851281348085,190,250,310,350,510,810,2200,2700,4000,4300,6000
GET,/category.html,38363,0,38,78.77429386909289,9.078700000031859,1882.0930999999996,11518.0,31.937423651987412,0.0,38,63,68,71,83,120,800,990,1600,1900,1900
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,4801,0,37,75.37223518017186,10.130599999968126,1756.8966999999996,10364.0,3.99686080215811,0.0,37,62,67,70,81,120,740,900,1500,1800,1800
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4820,0,38,82.79781576763618,10.915099999976974,2092.819399999999,10364.0,4.012678414164151,0.0,38,62,67,71,82,200,810,1000,1700,2100,2100
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,4715,0,37,78.47888786850439,9.645599999998922,2433.1970999999994,10364.0,3.925265295183397,0.0,37,62,68,71,82,140,780,980,1500,2400,2400
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,4900,0,36,76.1334289387757,10.603899999978239,1701.2717000000005,10364.0,4.079278885768535,0.0,36,62,67,70,81,120,800,990,1500,1700,1700
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,4730,0,36,79.0153162367857,10.162700000023506,1740.2668999999999,10364.0,3.937752883609219,0.0,36,62,67,70,81,130,810,960,1600,1700,1700
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,4804,0,36,79.83317110741088,10.706000000027416,1873.9983000000002,10364.0,3.999358319843274,0.0,36,62,67,71,83,130,800,1100,1700,1900,1900
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,4767,0,35,74.47979249003477,11.349300000006224,1756.2543,10364.0,3.9685556017262464,0.0,35,62,67,70,80,110,770,1000,1500,1800,1800
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,4823,0,35,72.05827022600027,10.543799999993553,1872.0170999999998,10364.0,4.015175931849315,0.0,35,61,66,69,80,110,730,920,1500,1900,1900
GET,/login,38367,0,110.0,207.43296942163693,36.34820000002037,4519.816000000001,13.0,31.94075367556763,0.0,110,130,150,160,190,280,2100,2600,3900,4500,4500
POST,/orders,38325,3964,170.0,317.2686417873481,52.62030000000095,9432.556000000002,642.7898238747554,31.90578842797533,3.3000533679972395,170,200,220,240,310,480,3100,3700,7000,8500,9400
,Aggregated,268844,10347,84,175.41123782230756,9.078700000031859,9432.556000000002,6514.06171980777,223.8142148501135,8.613938496132048,84,120,150,170,270,510,1400,2300,4300,7200,9400
